FREQ, UX_2, , UX_3, , UX_4,,,,
, REAL, IMAGINARY, REAL, IMAGINARY, REAL, IMAGINARY,,,
7.70E-02,-4.11119991,-2.05E-08,-4.14542332,7.86E-09,-4.11974692,-1.34E-08,-1.34E-08,0.991744291,0.997925356
7.80E-02,-4.00583228,-2.07E-08,-4.04005662,7.96E-09,-4.01437929,-1.36E-08,-1.36E-08,0.991528747,0.997870901
7.90E-02,-3.90444054,-2.10E-08,-3.93866582,8.06E-09,-3.91298755,-1.38E-08,-1.38E-08,0.991310438,0.997815733
8.00E-02,-3.80682716,-2.13E-08,-3.84105339,8.16E-09,-3.81537417,-1.39E-08,-1.39E-08,0.991089364,0.99775985
8.10E-02,-3.7128067,-2.15E-08,-3.74703389,8.27E-09,-3.72135371,-1.41E-08,-1.41E-08,0.990865524,0.997703252
8.20E-02,-3.62220497,-2.18E-08,-3.65643314,8.37E-09,-3.63075198,-1.43E-08,-1.43E-08,0.990638918,0.997645939
8.30E-02,-3.53485821,-2.21E-08,-3.56908736,8.47E-09,-3.54340522,-1.45E-08,-1.45E-08,0.990409551,0.997587911
8.40E-02,-3.45061235,-2.23E-08,-3.4848425,8.58E-09,-3.45915935,-1.46E-08,-1.46E-08,0.990177418,0.997529168
8.50E-02,-3.36932231,-2.26E-08,-3.40355348,8.68E-09,-3.37786932,-1.48E-08,-1.48E-08,0.98994252,0.997469704
8.60E-02,-3.29085144,-2.29E-08,-3.32508362,8.78E-09,-3.29939845,-1.50E-08,-1.50E-08,0.989704866,0.997409525
8.70E-02,-3.21507085,-2.31E-08,-3.24930406,8.88E-09,-3.22361785,-1.52E-08,-1.52E-08,0.989464449,0.997348631
8.80E-02,-3.14185895,-2.34E-08,-3.17609322,8.99E-09,-3.15040596,-1.53E-08,-1.53E-08,0.989221264,0.997287013
8.90E-02,-3.07110096,-2.37E-08,-3.10533628,9.09E-09,-3.07964797,-1.55E-08,-1.55E-08,0.988975326,0.99722468
9.00E-02,-3.00268841,-2.39E-08,-3.03692481,9.19E-09,-3.01123542,-1.57E-08,-1.57E-08,0.988726622,0.997161627
9.10E-02,-2.93651878,-2.42E-08,-2.97075626,9.30E-09,-2.94506579,-1.59E-08,-1.59E-08,0.988475164,0.997097854
9.20E-02,-2.87249509,-2.45E-08,-2.90673366,9.40E-09,-2.8810421,-1.60E-08,-1.60E-08,0.988220947,0.997033362
9.30E-02,-2.81052552,-2.47E-08,-2.8447652,9.50E-09,-2.81907253,-1.62E-08,-1.62E-08,0.98796397,0.996968148
